%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1.61273010551233E+018,2101,1.61273010551166E+018,1.68284475425,1.47913779778,0,0,0,0.352771735695,0.935709411353,-0.0791340141989,0.0839854465631,0,0,0,0.815130990097
1.61273010561786E+018,2102,1.61273010561736E+018,1.67630834698,1.47298019157,0,0,0,0.352706788297,0.935733894592,0.0618415982075,-0.0582577237039,0,0,0,-2.38602655939
1.61273010571666E+018,2103,1.61273010571619E+018,1.67599298448,1.47249708689,0,0,0,0.352674336355,0.935746126081,0.00319089041043,-0.00488813384031,0,0,0,-2.14912543729
1.61273010580832E+018,2104,1.61273010580792E+018,1.68894156985,1.48508374875,0,0,0,0.352863476555,0.935674819001,-0.141167656532,0.137221905546,0,0,0,0.771225624848
1.61273010591061E+018,2105,1.61273010590922E+018,1.67677675846,1.4725452165,0,0,0,0.352573455502,0.935784140962,0.120076242626,-0.123765161117,0,0,0,-2.34106729256
1.61273010601213E+018,2106,1.61273010601167E+018,1.68463078146,1.48055769123,0,0,0,0.352748242847,0.935718268053,-0.0766620900295,0.0782087167235,0,0,0,0.795384392008
1.61273010611034E+018,2107,1.61273010610962E+018,1.67718275645,1.4727097305,0,0,0,0.352543207745,0.935795536788,0.076040545758,-0.0801236861366,0,0,0,-2.33005399535
1.61273010620974E+018,2108,1.61273010620929E+018,1.67515787541,1.47134705767,0,0,0,0.352608704372,0.93577085956,0.0203164495772,-0.0136722469976,0,0,0,-2.5492427546
1.61273010630288E+018,2109,1.61273010630238E+018,1.67689058865,1.47320195865,0,0,0,0.352661148813,0.935751096242,-0.0186141111528,0.0199267438524,0,0,0,0.819443218123
1.61273010640622E+018,2110,1.61273010640565E+018,1.67251381052,1.4681862249,0,0,0,0.352476258257,0.935820756002,0.042377860036,-0.0485645047316,0,0,0,-2.28827094836
1.61273010650677E+018,2111,1.6127301065063E+018,1.67843220309,1.47460747035,0,0,0,0.352669196687,0.93574806316,-0.0588016724751,0.0637977233807,0,0,0,0.826126652032
1.61273010661283E+018,2112,1.61273010661228E+018,1.67870535662,1.47395025213,0,0,0,0.352528027745,0.935801255424,-0.00257745482853,-0.00620145835595,0,0,0,-1.17689672554
1.61273010670895E+018,2113,1.61273010670847E+018,1.67712016451,1.47290173475,0,0,0,0.352582108745,0.935780880652,0.0164806635892,-0.0109010523427,0,0,0,-2.55721377519
1.61273010681048E+018,2114,1.61273010680994E+018,1.67124170844,1.46776573748,0,0,0,0.352586321718,0.935779293283,0.0579300917835,-0.0506134245971,0,0,0,-2.42350035728
1.61273010690918E+018,2115,1.61273010690834E+018,1.67426527335,1.47018005233,0,0,0,0.352548276335,0.935793627278,-0.03072881306,0.0245369395602,0,0,0,0.673825287491
1.61273010700878E+018,2116,1.61273010700826E+018,1.67737250828,1.47321816839,0,0,0,0.352597040041,0.935775254724,-0.0310978840203,0.0304061273798,0,0,0,0.774151295799
1.61273010711259E+018,2117,1.61273010711157E+018,1.67513824772,1.47088445578,0,0,0,0.352538472869,0.935797320549,0.0216254894594,-0.0225880894469,0,0,0,-2.33442633744
1.61273010720165E+018,2118,1.61273010720122E+018,1.67211835631,1.46867482452,0,0,0,0.352608305987,0.935771009675,0.0336853794342,-0.0246473324819,0,0,0,-2.50991180518
1.61273010731124E+018,2119,1.6127301073108E+018,1.67877877779,1.47410240298,0,0,0,0.352541827486,0.935796056773,-0.0607802799238,0.0495298592622,0,0,0,0.683760595372
1.6127301074021E+018,2120,1.61273010740139E+018,1.67474659867,1.47108826167,0,0,0,0.352624859878,0.935764771829,0.044514067249,-0.0332752303339,0,0,0,-2.49967955735
1.61273010750591E+018,2121,1.6127301075055E+018,1.65654798167,1.45818544838,0,0,0,0.353115844219,0.935579606747,0.174801810347,-0.123934424355,0,0,0,-2.52485215044
1.61273010849671E+018,2122,1.61273010849621E+018,0.668152759351,1.46311899535,0,0,0,0.540648262276,0.841248748289,0.997659414819,0.00497978892278,0,0,0,3.13660122316
1.6127301085966E+018,2123,1.61273010859628E+018,0.666514148796,1.4634003214,0,0,0,0.541068654539,0.840978424857,0.0163741753281,0.00281121231278,0,0,0,2.97156456926
1.61273010869569E+018,2124,1.61273010869534E+018,0.671731145057,1.46524117603,0,0,0,0.540028747013,0.841646572143,-0.0526686584358,0.0185845146417,0,0,0,0.339217926176
1.61273010879635E+018,2125,1.6127301087961E+018,0.673497711309,1.46276675213,0,0,0,0.539339450867,0.842088449474,-0.0175324191164,-0.0245576053834,0,0,0,-0.950782207763
1.61273010889745E+018,2126,1.61273010889692E+018,0.677142038957,1.46971158239,0,0,0,0.539233862538,0.842156067183,-0.0361458231109,0.0688814592356,0,0,0,1.08754217032
1.61273010900384E+018,2127,1.6127301090035E+018,0.671680652773,1.46172923463,0,0,0,0.53965783799,0.841884444503,0.0512392552576,-0.0748911614936,0,0,0,-2.17082775191
1.61273010909931E+018,2128,1.61273010909886E+018,0.671137277277,1.46393330149,0,0,0,0.540027388405,0.84164744387,0.00569855979556,0.0231147831962,0,0,0,1.81250939895
1.61273010919872E+018,2129,1.61273010919827E+018,0.667896341077,1.45812107812,0,0,0,0.540164848035,0.841559229613,0.0326001298044,-0.0584643524733,0,0,0,-2.07946104795
