%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,mocap.linear.x,mocap.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1.61300074971877E+018,1,1.61300074971847E+018,odom,base_link,-1.00083947182,3.71081590652,0,0,0,0.793852548021,0.608110295917,-0.00150905483365,-0.000174554339332,0,0,0,-0.115159517369
1.61300074972813E+018,2,1.61300074972785E+018,odom,base_link,-1.00102043152,3.71090149879,0,0,0,0.793864606143,0.608094554419,0.0244637015049,0.00911815532193,0,0,0,2.7848207872
1.61300074973828E+018,3,1.61300074973792E+018,odom,base_link,-1.00085413456,3.71082091331,0,0,0,0.793853564835,0.608108968524,-0.0209714076388,-0.00800815028147,0,0,0,-0.364771667411
1.61300074974787E+018,4,1.61300074974766E+018,odom,base_link,-1.0008507967,3.71082496643,0,0,0,0.793853226388,0.608109410348,-0.000434882515306,0.000416126119748,0,0,0,0.76336153701
1.61300074975786E+018,5,1.61300074975769E+018,odom,base_link,-1.00084269047,3.71082949638,0,0,0,0.793852513906,0.608110340453,-0.00102481163334,0.000451284975365,0,0,0,0.414807564132
1.61300074976798E+018,6,1.6130007497678E+018,odom,base_link,-1.00130367279,3.71091866493,0,0,0,0.79388588432,0.60806677485,0.0578799437267,0.00882241880526,0,0,0,2.99033076105
1.61300074977809E+018,7,1.61300074977785E+018,odom,base_link,-1.00085258484,3.71081590652,0,0,0,0.79385354961,0.608108988399,-0.0569641658855,-0.0102256288315,0,0,0,-0.177618129444
1.61300074978805E+018,8,1.61300074978783E+018,odom,base_link,-1.00104296207,3.71088671684,0,0,0,0.793866631481,0.60809191034,0.0242054091296,0.00709457036795,0,0,0,2.85647942728
1.61300074979823E+018,9,1.61300074979794E+018,odom,base_link,-1.00083768368,3.7108309269,0,0,0,0.793852102012,0.608110878156,-0.025776744694,-0.0055204301635,0,0,0,-0.210976195944
1.61300074984193E+018,10,1.61300074981762E+018,odom,base_link,-1.00103318691,3.71089553833,0,0,0,0.793865703148,0.60809312228,0.0126027312705,0.00328210339582,0,0,0,2.8868237899
